grade,term,loan_count,total_value,at_risk_exposure,loss_rate
C,36 months,206521,2499270800.0,164689109.18282154,0.06589486388702719
B,36 months,284398,3517353100.0,136931097.2178167,0.0389301538187385
C,60 months,74086,1479263325.0,97475855.45394626,0.06589486388702719
D,36 months,86137,1062737325.0,95301604.59742406,0.08967559749294028
D,60 months,46190,940849325.0,84371225.37020457,0.0896755974929403
E,60 months,32352,683403900.0,78136938.509086,0.11433493210835642
A,36 months,204279,2833879275.0,48922702.832892835,0.017263509869485473
F,60 months,12687,272877050.0,36648426.3117697,0.13430380573144463
E,36 months,22616,277912700.0,31775129.686550025,0.11433493210835642
B,60 months,37911,774888500.0,30166528.49737155,0.0389301538187385
G,60 months,3671,80897375.0,11954226.967905408,0.1477702702702703
F,36 months,4235,46338050.0,6223376.465173968,0.13430380573144463
A,60 months,5421,104650750.0,1806639.2554740568,0.017263509869485473
G,36 months,835,12129925.0,1792442.2956081084,0.1477702702702703
