segment_type,segment_value,loan_count,total_portfolio_value,default_rate,segment_expected_loss,loss_rate,pct_of_portfolio_exposure
grade,C,359591,5164682600.0,0.2196495462900906,340326056.9466977,0.0658948638870272,0.31326816818606534
grade,D,188747,2922779600.0,0.2989186583098009,262102006.97017702,0.0896755974929403,0.24126338235187963
grade,B,370371,4956616050.0,0.129767179395795,192961825.24692807,0.0389301538187385,0.17762024473610136
grade,E,88818,1584789900.0,0.381116440361188,181196845.62250897,0.11433493210835642,0.16679064899854842
grade,F,30638,591756225.0,0.4476793524381487,79475113.08277304,0.13430380573144465,0.07315638219179942
grade,A,222504,3118178725.0,0.0575450328982849,53830709.193857126,0.017263509869485473,0.049550856647916273
grade,G,8880,183196600.0,0.4925675675675676,27071011.094594598,0.1477702702702703,0.024918709230297126
term,60 months,312573,6367008325.0,0.3207410748849069,612648328.1884953,0.09622232246547208,0.5639392447223768
term,36 months,956976,12154991375.0,0.1546068030964204,563773307.445994,0.04638204092892612,0.5189500706478881
purpose,debt_consolidation,738677,11370615325.0,0.2073991744700322,707476869.4863892,0.06221975234100967,0.6512283688366687
purpose,credit_card,277751,4163128975.0,0.1643738456387195,205292855.8532192,0.04931215369161586,0.1889708871304454
purpose,home_improvement,81467,1171013325.0,0.1730271152736691,60785117.271533266,0.05190813458210073,0.055952349083898616
purpose,other,72670,724659575.0,0.2065639190862804,44906556.544619516,0.06196917572588414,0.04133622571979623
purpose,small_business,15137,238240500.0,0.2979454317235912,21294800.587963276,0.08938362951707739,0.019601740847964576
purpose,major_purchase,27896,334392800.0,0.1829652996845426,18354683.659305997,0.05488958990536279,0.01689538021029656
purpose,medical,14311,130815500.0,0.2088603172384878,8196650.048913421,0.06265809517154634,0.007544968989804664
purpose,house,6867,106635750.0,0.2169797582641619,6941339.777195282,0.06509392747924858,0.0063894631409301995
purpose,car,13846,123431625.0,0.1423515816842409,5271206.114581828,0.042705474505272276,0.004852114758597121
purpose,moving,8928,70769075.0,0.2278225806451612,4836837.988911289,0.06834677419354837,0.004452281409755024
purpose,vacation,8388,52325525.0,0.1872913686218407,2940035.757331903,0.056187410586552224,0.0027062859199322134
purpose,wedding,2318,24291575.0,0.1220880069025021,889712.9928817943,0.03662640207075064,0.0008189756670176883
purpose,renewable_energy,879,8928150.0,0.2400455062571103,642948.6860068259,0.0720136518771331,0.0005918305489448373
purpose,educational,414,2752000.0,0.2028985507246377,167513.0434782609,0.060869565217391314,0.00015419478822312582
home_ownership,MORTGAGE,630545,10165442725.0,0.1690600988034161,515571225.4406903,0.050718029641024835,0.4745803327911098
home_ownership,RENT,509124,6512367825.0,0.2273571860686198,444190087.0007454,0.06820715582058595,0.4088744074713223
home_ownership,OWN,129383,1837788375.0,0.1990987996877487,109770437.86277947,0.059729639906324614,0.10104305353157564
home_ownership,ANY,267,3773050.0,0.1947565543071161,220447.86516853937,0.05842696629213484,0.0002029209856026193
home_ownership,OTHER,179,1933950.0,0.2122905027932961,123167.7653631285,0.06368715083798883,0.00011337521605323783
home_ownership,NONE,51,693775.0,0.1372549019607843,28567.205882352944,0.0411764705882353,2.6295947883768805e-05
emp_length_bucket,0-1,197380,2689695150.0,0.2056236700780221,165919496.4402169,0.061687101023406646,0.15272793738600476
emp_length_bucket,1-3,229968,3173647350.0,0.1990189939469839,189484830.8218535,0.059705698184095185,0.17441969146636782
emp_length_bucket,3-5,165089,2323713750.0,0.1968816820018293,137249001.4772335,0.059064504600548795,0.12633691250057166
emp_length_bucket,5-10,677112,10334943450.0,0.1910363425843878,592304939.2513425,0.05731090277531635,0.5452132727994081
dti_bucket,0-10,233071,3197210625.0,0.145749578454634,139797630.24732807,0.0437248735363902,0.1286829105512554
dti_bucket,10-20,535470,7906486675.0,0.1752721907856649,415736172.2834752,0.05258165723569947,0.3826827434501397
dti_bucket,20-30,383636,5715319050.0,0.2263916837835865,388170210.9269725,0.06791750513507597,0.357308435364785
dti_bucket,30-40,111177,1596768375.0,0.2858235066605503,136918180.8801506,0.0857470519981651,0.12603239405324448
dti_bucket,40-50,3457,57413075.0,0.3121203355510558,5375936.47020538,0.09363610066531673,0.004948518445561365
dti_bucket,50+,1953,39755750.0,0.271889400921659,3242750.1152073736,0.0815668202764977,0.002984932736535275
loan_amnt_bucket,0-5k,165262,605070425.0,0.1488605971124638,27021343.428177673,0.04465817913373914,0.024872990430461168
loan_amnt_bucket,5k-10k,347715,2822519550.0,0.1657564384625339,140355236.4296622,0.049726931538760184,0.12919618381888648
loan_amnt_bucket,10k-15k,269395,3505722500.0,0.2034930121197498,214017009.35429388,0.061047903635924945,0.19700141999876397
loan_amnt_bucket,15k-20k,204826,3716337050.0,0.2231406169138683,248779722.59905964,0.0669421850741605,0.22900029659689308
loan_amnt_bucket,20k+,282351,7872350175.0,0.231796593601581,547435186.2611431,0.06953897808047431,0.5039109245387149
